INFO:root:So should this
WARNING:root:And this, too
WARNING:root:Starting heatstop
04/28/20:10:53:52,504 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:53:59,319 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:54:06,103 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:54:12,999 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:54:19,784 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:54:26,603 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:54:33,463 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:54:40,279 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:54:47,63 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:54:54,169 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:55:01,631 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:55:08,423 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:55:15,229 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:55:22,26 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:55:28,850 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:55:35,637 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:55:42,449 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:55:49,221 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:55:56,56 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:56:03,61 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:56:09,656 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:56:16,423 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:56:23,243 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:56:30,23 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:56:36,852 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:56:43,630 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:56:50,443 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:56:57,225 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:57:04,47 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:57:10,827 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:57:17,642 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:57:24,419 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:57:31,246 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:57:38,23 root WARNING Water temp = 75.65f TOO HOT
